hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
103.0,109.8901,40.504,0.228,-102.153,8.29,3.085,-1.991691031493466e-05,-5.679004004047864e-06,-7.909493421088813e-06,F
104.0,97.6562,82.906,0.473,-51.605,9.34,4.392,-1.114733362941144e-07,-1.8564912603184026e-05,-3.497603762622672e-07,F
105.0,294.8245,96.33,0.551,278.643,7.73,0.382,1.0441676729934936e-05,-7.44007817926314e-06,-3.594759422695524e-06,F
106.0,242.9828,156.244,0.9,186.085,6.22,-0.708,-2.615021292697711e-06,1.548763490677127e-05,-2.398619843524917e-05,K
107.0,186.0709,118.761,0.692,-143.24,5.53,-0.818,8.735827877287386e-06,7.016684039577237e-06,6.213871480027881e-06,M
108.0,698.5739,237.486,1.395,-656.966,8.53,-0.691,2.9411575031948958e-05,4.710413207679463e-05,6.566597660650267e-05,K
109.0,190.5782,189.237,1.145,22.537,7.23,0.83,1.105938218976654e-05,-1.3029085361348782e-06,-6.381592830048384e-06,F
110.0,51.717,39.842,0.242,32.973,8.61,5.042,7.409397444503292e-06,-7.896198436026214e-06,-8.253117650399111e-06,K
113.0,737.3573,483.639,3.086,556.578,8.93,-0.408,8.54663001293499e-06,-3.062960020191492e-06,-7.409397444503292e-06,A
114.0,117.7856,101.238,0.657,60.198,7.95,2.595,1.6455100742865145e-06,-5.860020339130968e-06,-2.4714354540216224e-05,G
115.0,252.8695,115.1,0.748,-225.154,7.46,0.446,2.1713778680703088e-05,-2.7244492466745023e-06,-1.2829660585409771e-05,A
116.0,129.2085,107.377,0.703,-71.865,8.6,3.044,-1.3622246233372512e-06,-1.5658424330267756e-05,-1.680997457492072e-05,F
117.0,551.68,164.917,1.095,-526.452,8.55,-0.158,6.611698340747243e-06,4.610700819709957e-05,-1.1252670818753585e-05,G
118.0,79.2468,78.174,0.527,-12.984,9.2,4.705,2.037200788053907e-06,1.777130426406262e-05,6.74976164716656e-08,F
119.0,162.1471,115.3,0.785,114.004,6.82,0.77,1.0229979660091984e-05,-7.429851267676523e-06,-9.477278967317046e-06,K
120.0,504.727,354.733,2.451,-359.037,8.29,-0.225,-4.770445178692899e-05,-5.080525137999096e-05,-5.22370190021172e-05,K
121.0,234.8621,206.545,1.429,111.792,6.83,-0.024,4.745286976189824e-06,-2.1857978134074375e-05,-4.169818661210942e-05,K
122.0,64.7044,14.483,0.101,-63.063,4.78,0.725,-4.885395664926464e-05,-1.8171176507099307e-05,-3.4495372781655765e-05,K
123.0,172.2684,52.556,0.367,164.055,7.21,1.029,-7.122021228919382e-06,-3.660416195081599e-05,-1.2077982583793496e-05,K
124.0,723.3271,348.205,2.457,633.995,5.58,-3.717,-1.2981018876891688e-05,-6.282391787658208e-06,-2.351678319342349e-05,A
125.0,153.0408,118.364,0.836,-97.009,8.7,2.776,1.196548655634072e-07,-1.383905675900877e-05,-2.7146314115513508e-05,F
126.0,328.1063,317.457,2.265,82.885,8.06,0.48,3.6974376150251485e-05,5.906143710386606e-05,2.21289912911197e-05,G
128.0,69.7514,19.679,0.142,66.918,6.5,2.282,9.51102777555288e-07,2.5968173900735344e-05,-1.0647237652825916e-05,A
129.0,192.7589,191.907,1.392,18.049,9.32,2.895,1.8457530031524557e-05,5.777182355279378e-06,2.3730525645583766e-05,F
130.0,470.6156,404.68,2.954,-240.217,9.14,0.777,-6.440908917250756e-06,3.369665098674105e-05,-2.819354986198299e-05,K
131.0,143.5399,67.346,0.494,126.759,8.13,2.345,1.7499268415858638e-05,-6.826463484066179e-06,-9.794313226502142e-06,A
133.0,179.9433,137.54,1.017,-116.023,6.62,0.344,-1.490572363749282e-05,2.9252035211197744e-05,-6.650560604776385e-06,F
